"Nome ",ID,Группа,Дата Последней Котировки,Дата стоимости,Ед. Измерения,Категория,"Название RU ",Название RU [AI],Последний Поставщик,Последняя Котировка,Поставщик / Подрядчик,Поставщики,Создано,Стоимость,💯 Котировки поставщиков
GRELHA RETANG.FFD SUMID.ANTI-ROUBO 618x275x40mm C250,139.924103,,,"October 6, 2025 11:25 AM",un,,,РЕШЕНИЕ RECTANGULAR FFD СЛИВ АНТИ-УГОН 618x275x40мм C250,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€64.87,
GRELHA RETANG.FFD SUMID.ANTI-ROUBO 706x380x55mm C250,139.924104,,,"October 6, 2025 11:25 AM",un,,,РЕШЕТКА ПРЯМОУГОЛЬНАЯ FFD С УТЕЧКОЙ ANTI-ROUBO 706x380x55мм C250,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€104.39,
,PÁGIN. 86 - GRELHAS SUMIDOURAS EM FERRO FUNDIDO SARGETA RECTANG. - D400,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
GRELHA RETANG.FFD SUMID.ANTI-ROUBO 555x320x80mm D400,139.924112,,,"October 6, 2025 11:25 AM",un,,,Решетка прямоугольная FFD с системой защиты от кражи 555x320x80мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€92.47,
GRELHA RETANG.FFD SUMID.ANTI-ROUBO 706x380x80mm D400,139.924114,,,"October 6, 2025 11:25 AM",un,,,РЕШЕТКА ПРЯМОУГОЛЬНАЯ FFD С УТЕЧКОЙ АНТИ-ВОРОВСТВО 706x380x80мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€128.70,
,PÁGIN. 86 - RALO SUMIDOURO EM FERRO FUNDIDO QUADRADO - D400,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
RALO DE PAVIMENTO FFD 185x185x150xØ125mm D400,139.927001,,,"October 6, 2025 11:25 AM",un,,,Ливневый канал FFD 185x185x150xØ125мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€82.81,
,PÁGIN. 86 - RALO SUMIDOURO EM FERRO FUNDIDO REDONDO - L15,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
RALO DE PAVIMENTO FFD C/Sifão 200x200x60xØ75mm L15,139.927011,,,"October 6, 2025 11:25 AM",un,,,РАЛО ДЛЯ ПАВИЛЬОНА FFD С/Сифон 200x200x60xØ75мм L15,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€41.41,
,PÁGIN. 86 - TAMPAS SANEAMENTO EM FERRO FUNDIDO QUADRADA RASA - B125,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
TAMPA QUAD. RASA F.F. DOURO Mod.300 217x30mm B125,139.920111,,,"October 6, 2025 11:25 AM",un,,,ТАМПА QUAD. RASA F.F. DOURO Mod.300 217x30мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€22.88,
TAMPA QUAD. RASA F.F. DOURO Mod.400 300x30mm B125,139.920112,,,"October 6, 2025 11:25 AM",un,,,ТАМПА QUAD. RASA F.F. DOURO Mod.400 300x30мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€34.32,
TAMPA QUAD. RASA F.F. DOURO Mod.500 400x35mm B125,139.920113,,,"October 6, 2025 11:25 AM",un,,,ТАМПА QUAD. RASA F.F. DOURO Mod.500 400x35мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€75.79,
TAMPA QUAD. RASA F.F. DOURO Mod.600 500x35mm B125,139.920114,,,"October 6, 2025 11:25 AM",un,,,ТАМПА QUAD. RASA F.F. DOURO Mod.600 500x35мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€95.81,
TAMPA QUAD. RASA F.F. DOURO Mod.700 600x45mm B125,139.920115,,,"October 6, 2025 11:25 AM",un,,,ТАМПА QUAD. RASA F.F. DOURO Mod.700 600x45мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€181.61,
TAMPA QUAD. RASA F.F. DOURO Mod.800 700x45mm B125,139.920116,,,"October 6, 2025 11:25 AM",un,,,ТАМПА QUAD. RASA F.F. ДУРО Мод.800 700x45мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€221.65,
TAMPA QUAD. RASA F.F. DOURO Mod.900 800x45mm B125,139.920117,,,"October 6, 2025 11:25 AM",un,,,ТАМПА QUAD. RASA F.F. DOURO Mod.900 800x45мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€336.05,
,PÁGIN. 86 - TAMPAS SANEAMENTO EM FERRO FUNDIDO QUADRADA RASA - C250,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
TAMPA QUAD. RASA F.F. PARK Mod.400 300x40mm C250,139.920212,,,"October 6, 2025 11:25 AM",un,,,TAMPA QUAD. RASA F.F. PARK Mod.400 300x40мм C250,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€78.00,
TAMPA QUAD. RASA F.F. PARK Mod.500 400x45mm C250,139.920213,,,"October 6, 2025 11:25 AM",un,,,ТАРА QUAD. RASA F.F. PARK Mod.500 400x45мм C250,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€117.26,
TAMPA QUAD. RASA F.F. PARK Mod.600 500x50mm C250,139.920214,,,"October 6, 2025 11:25 AM",un,,,ТЕХНИЧЕСКАЯ ПЛИТА TAMPA QUAD. RASA F.F. PARK Mod.600 500x50мм C250,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€141.57,
TAMPA QUAD. RASA F.F. PARK Mod.700 600x50mm C250,139.920215,,,"October 6, 2025 11:25 AM",un,,,ТАМПА QUAD. RASA F.F. PARK Mod.700 600x50мм C250,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€214.50,
,PÁGIN. 86 - TAMPAS SANEAMENTO EM FERRO FUNDIDO QUADRADA RASA - D400,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
TAMPA QUAD. RASA F.F. TRAFFIC Mod.500 400x75mm D400,139.920313,,,"October 6, 2025 11:25 AM",un,,,ТРАФИК TAMPA QUAD. RASA F.F. Мод.500 400x75мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€171.60,
TAMPA QUAD. RASA F.F. TRAFFIC Mod.600 500x75mm D400,139.920314,,,"October 6, 2025 11:25 AM",un,,,ТРАФИК TAMPA QUAD. RASA F.F. Mod.600 500x75мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€200.20,
TAMPA QUAD. RASA F.F. TRAFFIC Mod.700 600x100mm D400,139.920315,,,"October 6, 2025 11:25 AM",un,,,ТРАФИК TAMPA QUAD. RASA F.F. Mod.700 600x100мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€286.00,
TAMPA QUAD. RASA F.F. TRAFFIC Mod.800 700x100mm D400,139.920316,,,"October 6, 2025 11:25 AM",un,,,ТАМПА QUAD. RASA F.F. ТРАФИК Mod.800 700x100мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€396.07,
TAMPA QUAD. RASA F.F. TRAFFIC Mod.900 800x100mm D400,139.920317,,,"October 6, 2025 11:25 AM",un,,,ТРАФИК TAMPA QUAD. RASA F.F. Mod.900 800x100мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€614.11,
TAMPA QUAD. RASA F.F. TRAFFIC Mod.1000 900x100mm D400,139.920318,,,"October 6, 2025 11:25 AM",un,,,ТРАФИК TAMPA QUAD. RASA F.F. Mod.1000 900x100мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€770.00,
TAMPA QUAD. RASA F.F. TRAFFIC Mod.1100 1000x1000mm D400,139.920359,,,"October 6, 2025 11:25 AM",un,,,ТРАФИК TAMPA QUAD. RASA F.F. Mod.1100 1000x1000мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM","€1,001.00",
,PÁGIN. 86 - TAMPAS SANEAMENTO EM FERRO FUNDIDO QUADRADA REBAIXADA - B125,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
TAMPA QUAD.REBAIX.F.F.BASALTO Mod.500 400x75(50)mm B125,139.921031,,,"October 6, 2025 11:25 AM",un,,,TAMPA QUAD.REBAIX.F.F.BASALTO Mod.500 400x75(50)мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€114.40,
TAMPA QUAD.REBAIX.F.F.BASALTO Mod.600 500x75(50)mm B125,139.921032,,,"October 6, 2025 11:25 AM",un,,,ТАМПА QUAD.REBAIX.F.F.БАЗАЛЬТО Mod.600 500x75(50)мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€150.15,
TAMPA QUAD.REBAIX.F.F.PORTUS Mod.400 300x50(30)mm B125,139.9921012,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,ТАМПА QUAD.REBAIX.F.F.PORTUS Mod.400 300x50(30)мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€62.11,
TAMPA QUAD.REBAIX.F.F.PORTUS Mod.500 400x50(30)mm B125,139.9921013,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,TAMPA QUAD.REBAIX.F.F.PORTUS Mod.500 400x50(30)мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€80.05,
TAMPA QUAD.REBAIX.F.F.PORTUS Mod.600 500x50(30)mm B125,139.9921014,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,TAMPA QUAD.REBAIX.F.F.PORTUS Mod.600 500x50(30)мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€132.49,
TAMPA QUAD.REBAIX.F.F.PORTUS Mod.700 600x50(30)mm B125,139.9921015,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,ТАМПА QUAD.REBAIX.F.F.PORTUS Mod.700 600x50(30)мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€165.61,
TAMPA QUAD.REBAIX.F.F.PORTUS Mod.800 700x50(30)mm B125,139.9921016,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,ТАМПА QUAD.REBAIX.F.F.PORTUS Mod.800 700x50(30)мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€286.00,
,PÁGIN. 86 - TAMPAS SANEAMENTO EM FERRO FUNDIDO QUADRADA REBAIXADA - C250,,,"September 25, 2025 11:59 AM",,Крышки и люки,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
TAMPA QUAD.REBAIX.F.F.BASALTO Mod.500 400x100mm C250,139.921041,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,ТАМПА QUAD.REBAIX.F.F.BASALТО Mod.500 400x100мм C250,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€147.67,
TAMPA QUAD.REBAIX.F.F.BASALTO Mod.600 500x100mm C250,139.921042,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,TAMPA QUAD.REBAIX.F.F.BASALTO Mod.600 500x100мм C250,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€193.21,
,PÁGIN. 86 - TAMPAS SANEAMENTO EM FERRO FUNDIDO QUADRADA REBAIXADA - D400,,,"September 25, 2025 11:59 AM",,крышки,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
TAMPA Q.REB.F.F.BASALTO Mod.500 400x85/115(60)mm D400,139.921051,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,TAMPA Q.REB.F.F.BASALTO Mod.500 400x85/115(60)мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€171.60,
TAMPA Q.REB.F.F.BASALTO Mod.600 500x85/115(60)mm D400,139.921052,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,TAMPA Q.REB.F.F.BASALTO Mod.600 500x85/115(60)мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€243.10,
,PÁGIN. 86 - TAMPAS SANEAMENTO EM FERRO FUNDIDO RECTANG. REBAIXADA - B125,,,"September 25, 2025 11:59 AM",,крышки,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
TAMPA REB.FFD Mod.NR1 720x870-750x600x60(110)mm B125,139.921501,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,ТАМПА REB.FFD Mod.NR1 720x870-750x600x60(110)мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€317.41,
TAMPA REB.FFD Mod.NR2 1320x870-1200x750x60(110)mm B125,139.921502,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,ТАМПА REB.FFD Mod.NR2 1320x870-1200x750x60(110)мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€579.61,
TAMPA REB.FFD Mod.NR3 1620x870-1500x750x60(110)mm B125,139.921503,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,ТАМПА REB.FFD Мод.НР3 1620x870-1500x750x60(110)мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€669.31,
,PÁGIN. 86 - TAMPAS SANEAMENTO EM FERRO FUNDIDO RECTANGULAR RASA - B125,,,"September 25, 2025 11:59 AM",,Крышки и люки,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
TAMPA RASA FFD Mod.NR1 830x680-750x600x40(80)mm B125,139.920401,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,TAMPA RASA FFD Mod.NR1 830x680-750x600x40(80)мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€257.40,
TAMPA RASA FFD Mod.NR2 1280x830-1200x750x40(80)mm B125,139.920402,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,ТАМПА RASA FFD Mod.NR2 1280x830-1200x750x40(80)мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€471.90,
TAMPA RASA FFD Mod.NR3 1580x830-1500x750x40(80)mm B125,139.920403,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,ТАМПА RASA FFD Mod.NR3 1580x830-1500x750x40(80)мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€586.30,
,PÁGIN. 86 - TAMPAS SANEAMENTO EM FERRO FUNDIDO RECTANGULAR RASA - D400,,,"September 25, 2025 11:59 AM",,Крышки и люки,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
TAMPA RASA FFD Mod.NR1 910x760-750x600x80mm D400,139.920501,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,ТАМПА RASA FFD Mod.NR1 910x760-750x600x80мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€507.65,
TAMPA RASA FFD Mod.NR2 1360x910-1200x750x80mm D400,139.920502,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,ТАМПА RASA FFD Mod.NR2 1360x910-1200x750x80мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€948.75,
TAMPA RASA FFD Mod.NR3 1660x910-1500x750x80mm D400,139.920503,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,ТАМПА RASA FFD Mod.NR3 1660x910-1500x750x80мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM","€1,117.81",
TAMPA RASA FFD Articul. Mod.NR2 1340x970-1200x750x120m D400,139.920512,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,TAMPA RASA FFD Артикуляция. Мод.NR2 1340x970-1200x750x120м D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€990.00,
TAMPA Ø RASA F.F. Mod.500R 475x575x40mm B125,139.922012,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,TAMPA Ø RASA F.F. Mod.500R 475x575x40мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€85.80,
,PÁGIN. 86 - TAMPAS SANEAMENTO EM FERRO FUNDIDO REDONDA RASA - B125,,,"September 25, 2025 11:59 AM",,Крышки и люки,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
TAMPA Ø RASA F.F. Mod.500 500x620x45mm B125,139.922013,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,TAMPA Ø RASA F.F. Mod.500 500x620x45мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€95.81,
TAMPA Ø RASA F.F. Mod.600 600x720x50mm B125,139.922014,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,TAMPA Ø RASA F.F. Mod.600 600x720x50мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€143.00,
TAMPA Ø RASA F.F. Mod.600R 550x660x40mm B125,139.922015,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,ТАМПА Ø RASA F.F. Mod.600R 550x660x40мм B125,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€107.25,
,PÁGIN. 86 - TAMPAS SANEAMENTO EM FERRO FUNDIDO REDONDA RASA - C250,,,"September 25, 2025 11:59 AM",,Крышки и люки,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
TAMPA Ø RASA F.F. Mod.500 500x620x45mm C250,139.922213,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,ТАМПА Ø RASA F.F. Mod.500 500x620x45мм C250,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€128.70,
,PÁGIN. 86 - TAMPAS SANEAMENTO EM FERRO FUNDIDO REDONDA RASA - D400,,,"September 25, 2025 11:59 AM",,Крышки и люки,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
TAMPA Ø RASA F.F. RL600 550x735x75mm D400,139.922021,,,"October 6, 2025 11:25 AM",un,крышка,,TAMPA Ø RASA F.F. RL600 550x735x75мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€150.15,
TAMPA Ø RASA F.F. Mod.EASYFLEX 600 600x850x100mm D400,139.922023,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,TAMPA Ø RASA F.F. Mod.EASYFLEX 600 600x850x100мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€250.25,
TAMPA Ø RASA F.F. Mod.FLEXUS 600 575x815x100mm D400,139.922123,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,ТАМПА Ø RASA F.F. Mod.FLEXUS 600 575x815x100мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€221.65,
TAMPA Ø RASA F.F. RE600 600x815x100mm D400,139.922130,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,TAMPA Ø RASA F.F. RE600 600x815x100мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€200.20,
TAMPA Ø RASA F.F. Mod.500 500x620x45mm D400,139.922313,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,TAMPA Ø RASA F.F. Mod.500 500x620x45мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€164.45,
,PÁGIN. 86 - TAMPAS SANEAMENTO EM FERRO FUNDIDO REDONDA REBAIXADA - D400,,,"September 25, 2025 11:59 AM",,крышки,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
TAMPA Ø REBAIX. F.F. Mod.600 600x755x80mm D400,139.922060,,,"October 6, 2025 11:25 AM",un,Крышки и люки,,ТАМПА Ø РЕБАЙК. F.F. Mod.600 600x755x80мм D400,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€243.10,
,PÁGIN. 92 - BALDES PLÁSTICOS,,,"September 25, 2025 11:59 AM",,пластиковые ведра,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
BALDE 10 LITROS PRETO 25Un./Emb.,100.0210,,,"October 6, 2025 11:25 AM",un,Упаковочные материалы,,БАЛДЕ 10 ЛИТРОВ ЧЕРНЫЙ 25ШТ./УП.,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€1.35,
BALDE 10 LITROS PRETO Arco Reforçado 25Un./Emb.,100.0212,,,"October 6, 2025 11:25 AM",un,Вспомогательные материалы,,БАЛДЕ 10 ЛИТРОВ ЧЕРНЫЙ Арко Укрепленный 25шт./Уп.,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€2.05,
BALDE 15 LITROS PRETO 25Un./Emb.,100.0215,,,"October 6, 2025 11:25 AM",un,Упаковочные материалы,,ВЕДРО 15 ЛИТРОВ ЧЕРНОЕ 25ШТ./УПАК.,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€1.88,
,PÁGIN. 92 - CAIXAS ARMAZENAMENTO,,,"September 25, 2025 11:59 AM",,коробки для хранения,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
CAIXAS ARMAZENAMENTO refª 1607 600x400x410mm,100.CA1607,,,"October 6, 2025 11:25 AM",un,Вспомогательные материалы,,Ящики хранения (refª 1607) 600x400x410мм,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€35.90,
,PÁGIN. 92 - GAMELAS PLÁSTICAS,,,"September 25, 2025 11:59 AM",,пластиковые изделия,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
"GAMELA PRETA Nº 1 420x310x95mm 7,5Litros 10Un./Emb.",100.0300,,,"October 6, 2025 11:25 AM",un,Упаковочные материалы,,"ГАМЕЛА ПРЕТА № 1 420x310x95мм 7,5Литров 10шт./Упаковка",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€2.05,
GAMELA PRETA Nº 2 495x408x110mm 15Litros 10Un./Emb.,100.0305,,,"October 6, 2025 11:25 AM",un,контейнеры для хранения,,ГАМЕЛА ПРЕТА № 2 495x408x110мм 15Литров 10Шт./Уп.,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€2.60,
GAMELA PRETA Nº 3 630x470x160mm 35Litros 10Un./Emb.,100.0310,,,"October 6, 2025 11:25 AM",un,Упаковочные материалы,,ГАМЕЛА ПРЕТА Nº 3 630x470x160мм 35Литров 10Шт./Упаковка,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€6.63,
